feature,column_index
CNT_CHILDREN,4
AMT_INCOME_TOTAL,5
AMT_CREDIT,6
AMT_ANNUITY,7
AMT_GOODS_PRICE,8
REGION_POPULATION_RELATIVE,14
DAYS_BIRTH,15
DAYS_EMPLOYED,16
DAYS_REGISTRATION,17
DAYS_ID_PUBLISH,18
OWN_CAR_AGE,19
FLAG_MOBIL,20
FLAG_EMP_PHONE,21
FLAG_WORK_PHONE,22
FLAG_CONT_MOBILE,23
FLAG_PHONE,24
FLAG_EMAIL,25
CNT_FAM_MEMBERS,27
REGION_RATING_CLIENT,28
REGION_RATING_CLIENT_W_CITY,29
REG_REGION_NOT_LIVE_REGION,32
REG_REGION_NOT_WORK_REGION,33
LIVE_REGION_NOT_WORK_REGION,34
REG_CITY_NOT_LIVE_CITY,35
REG_CITY_NOT_WORK_CITY,36
LIVE_CITY_NOT_WORK_CITY,37
EXT_SOURCE_1,39
EXT_SOURCE_2,40
EXT_SOURCE_3,41
APARTMENTS_AVG,42
BASEMENTAREA_AVG,43
YEARS_BEGINEXPLUATATION_AVG,44
YEARS_BUILD_AVG,45
COMMONAREA_AVG,46
ELEVATORS_AVG,47
ENTRANCES_AVG,48
FLOORSMAX_AVG,49
FLOORSMIN_AVG,50
LANDAREA_AVG,51
LIVINGAPARTMENTS_AVG,52
LIVINGAREA_AVG,53
NONLIVINGAPARTMENTS_AVG,54
NONLIVINGAREA_AVG,55
APARTMENTS_MODE,56
BASEMENTAREA_MODE,57
YEARS_BEGINEXPLUATATION_MODE,58
YEARS_BUILD_MODE,59
COMMONAREA_MODE,60
ELEVATORS_MODE,61
ENTRANCES_MODE,62
FLOORSMAX_MODE,63
FLOORSMIN_MODE,64
LANDAREA_MODE,65
LIVINGAPARTMENTS_MODE,66
LIVINGAREA_MODE,67
NONLIVINGAPARTMENTS_MODE,68
NONLIVINGAREA_MODE,69
APARTMENTS_MEDI,70
BASEMENTAREA_MEDI,71
YEARS_BEGINEXPLUATATION_MEDI,72
YEARS_BUILD_MEDI,73
COMMONAREA_MEDI,74
ELEVATORS_MEDI,75
ENTRANCES_MEDI,76
FLOORSMAX_MEDI,77
FLOORSMIN_MEDI,78
LANDAREA_MEDI,79
LIVINGAPARTMENTS_MEDI,80
LIVINGAREA_MEDI,81
NONLIVINGAPARTMENTS_MEDI,82
NONLIVINGAREA_MEDI,83
TOTALAREA_MODE,86
OBS_30_CNT_SOCIAL_CIRCLE,89
DEF_30_CNT_SOCIAL_CIRCLE,90
OBS_60_CNT_SOCIAL_CIRCLE,91
DEF_60_CNT_SOCIAL_CIRCLE,92
DAYS_LAST_PHONE_CHANGE,93
FLAG_DOCUMENT_2,94
FLAG_DOCUMENT_3,95
FLAG_DOCUMENT_4,96
FLAG_DOCUMENT_5,97
FLAG_DOCUMENT_6,98
FLAG_DOCUMENT_7,99
FLAG_DOCUMENT_8,100
FLAG_DOCUMENT_9,101
FLAG_DOCUMENT_10,102
FLAG_DOCUMENT_11,103
FLAG_DOCUMENT_12,104
FLAG_DOCUMENT_13,105
FLAG_DOCUMENT_14,106
FLAG_DOCUMENT_15,107
FLAG_DOCUMENT_16,108
FLAG_DOCUMENT_17,109
FLAG_DOCUMENT_18,110
FLAG_DOCUMENT_19,111
FLAG_DOCUMENT_20,112
FLAG_DOCUMENT_21,113
AMT_REQ_CREDIT_BUREAU_HOUR,114
AMT_REQ_CREDIT_BUREAU_DAY,115
AMT_REQ_CREDIT_BUREAU_WEEK,116
AMT_REQ_CREDIT_BUREAU_MON,117
AMT_REQ_CREDIT_BUREAU_QRT,118
AMT_REQ_CREDIT_BUREAU_YEAR,119
LOAN_INCOME_RATIO,120
ANNUITY_INCOME_RATIO,121
ANNUITY_LENGTH,122
PREV_APP_COUNT,123
TOTAL_PREV_LOAN_AMT,124
AMT_ANNUITY_PAVG,125
AMT_APPLICATION,126
AMT_CREDIT_PAVG,127
AMT_DOWN_PAYMENT,128
AMT_GOODS_PRICE_PAVG,129
HOUR_APPR_PROCESS_START_PAVG,130
NFLAG_LAST_APPL_IN_DAY,131
RATE_DOWN_PAYMENT,132
DAYS_DECISION,133
SELLERPLACE_AREA,134
CNT_PAYMENT,135
DAYS_FIRST_DRAWING,136
DAYS_FIRST_DUE,137
DAYS_LAST_DUE_1ST_VERSION,138
DAYS_LAST_DUE,139
DAYS_TERMINATION,140
NFLAG_INSURED_ON_APPROVAL,141
SK_ID_PREV_CCAVG,158
MONTHS_BALANCE,159
AMT_BALANCE,160
AMT_CREDIT_LIMIT_ACTUAL,161
AMT_DRAWINGS_CURRENT,162
AMT_PAYMENT_TOTAL_CURRENT,163
AMT_RECEIVABLE_PRINCIPAL,164
AMT_RECIVABLE,165
AMT_TOTAL_RECEIVABLE,166
CNT_DRAWINGS_CURRENT,167
SK_DPD,168
SK_DPD_DEF,169
DAYS_CREDIT,171
CREDIT_DAY_OVERDUE,172
DAYS_CREDIT_ENDDATE,173
DAYS_ENDDATE_FACT,174
AMT_CREDIT_MAX_OVERDUE,175
CNT_CREDIT_PROLONG,176
AMT_CREDIT_SUM,177
